Feature1,Feature2,Feature3,Feature4,Target
-7.089980627036086,-6.40092847121299,-8.405855682614314,7.92866833955983,1
-3.2370016889116378,9.561371162403164,4.088970463965311,1.1396492409449586,0
-7.798972187884075,-8.23378465904518,-8.46645402137925,5.795220257182784,1
-7.666452454505002,-7.1629630871039485,-9.965683647019189,8.666616816575619,1
-7.400275346726297,-4.813523475906113,-9.75880870311637,6.598916958506879,1
1.1218080815585882,1.5670127960079823,-9.038243302135468,8.072467434870067,2
-4.155478994570378,7.0780124507462325,6.405283229220432,1.7219812713584925,0
-8.069663187279643,-7.639565923137697,-8.611133787885162,7.680216043554852,1
-6.337145785239665,-7.307278494538946,-8.803299151913329,8.161091751654821,1
-2.239575952150487,10.133395126446029,2.9378399567084634,-0.13980089043619914,0
-4.874010100626299,-7.961760409152556,-8.231445237668652,7.219481552120853,1
-7.852828227505884,-8.216965333470338,-8.527934379209544,7.578810646527896,1
-8.83804505318297,-7.966046992801626,-11.00677743055419,6.993708554694953,1
-2.5566638076807364,9.832086965045471,4.673860887584655,2.0088770513356264,0
-1.4624128589879364,9.234296535084344,7.267642356089308,1.0032117415145503,0
2.1610163212800653,4.125731769917227,-9.202408665636643,9.53800670621093,2
-7.059556054046201,-8.5998917707056,-9.467922645116174,7.915908732670484,1
-1.7633113552254893,8.57075372494596,5.092399308910725,1.938054307518758,0
-7.935641569180187,-6.557092488969754,-9.097272308229874,5.910209165909073,1
0.9306724887741744,5.072851600940256,-10.3284405479076,7.780602101999284,2
-6.483490642586138,-7.856922396425814,-9.277140255672634,7.928647813144764,1
0.9007875609860103,4.254554023304578,-7.9121979012057615,9.932159021691296,2
2.0588719315689303,3.0847479485274008,-10.371850301082448,8.738449811674245,2
-1.6939496835049463,7.635733286007934,5.439453837319156,2.5282792353654733,0
3.1584693146784204,4.227455079160959,-9.081388146602222,8.838770708904418,2
-0.574532869146241,10.09049330723696,4.317642058741103,0.903739013442387,0
-0.4312545696973462,3.466670491993023,-8.320988612079965,10.34414703120309,2
2.3081058022317293,3.152525288042559,-9.323553148915355,8.97569174629523,2
-2.200137154185433,8.92495102927892,2.3373533778692517,1.9413530334016718,0
-6.176542149753691,-7.764233756413093,-10.536648386945036,7.585763766391838,1
2.8712494879014328,5.093769586746704,-7.658812040740962,11.02234142038533,2
-6.617236023042513,-7.4156942115571605,-9.079094915226529,7.764535408147426,1
1.5816555138100776,4.5065282421217026,-10.985170872970942,8.968608521943883,2
-3.495862097732468,9.306710781988617,4.933838721558569,1.3648378734953763,0
-3.8429471713771886,9.310091862316728,5.237744934424244,3.3413485301662518,0
-2.2959564219328454,7.4118728977462,5.096116257435257,2.70587257828132,0
-3.6751857045022933,7.358744330451605,3.8878181667201432,3.0080418508000424,0
1.4148733615617723,3.9460340660739326,-8.51523078468283,8.478610013502175,2
-2.266403067345388,10.972514407105251,3.760239241599314,4.154843991010122,0
-8.49402977604956,-7.217506444233416,-8.231923179459192,7.956930135397408,1
-5.8015957091348875,-5.530377529292972,-9.45343431301022,8.143377800299985,1
